LAMBDA,G,G_err,BP,BP_err,RP,RP_err
3450,7.70483188e-02,2.13222012e-02,3.46780336e-01,1.37215625e-02,0.00,0.00
3452.5,7.77958945e-02,2.14573321e-02,3.63665950e-01,1.43455050e-02,0.00,0.00
3455,7.85434702e-02,2.15924668e-02,3.80659643e-01,1.49699224e-02,0.00,0.00
3457.5,7.92910459e-02,2.17276052e-02,3.97761416e-01,1.55948160e-02,0.00,0.00
3460,8.00386215e-02,2.18627473e-02,4.14971269e-01,1.62201872e-02,0.00,0.00
3462.5,8.07012048e-02,2.19711201e-02,4.29824592e-01,1.67524279e-02,0.00,0.00
3465,8.13637880e-02,2.20794970e-02,4.44743927e-01,1.72841432e-02,0.00,0.00
3467.5,8.20263712e-02,2.21878777e-02,4.59729272e-01,1.78153343e-02,0.00,0.00
3470,8.26889544e-02,2.22962623e-02,4.74780629e-01,1.83460022e-02,0.00,0.00
3472.5,8.32618651e-02,2.23804629e-02,4.81438022e-01,1.85576101e-02,0.00,0.00
3475,8.38347758e-02,2.24646672e-02,4.88114683e-01,1.87688594e-02,0.00,0.00
3477.5,8.44076865e-02,2.25488752e-02,4.94810611e-01,1.89797507e-02,0.00,0.00
3480,8.49805972e-02,2.26330868e-02,5.01525806e-01,1.91902843e-02,0.00,0.00
3482.5,8.54731001e-02,2.26908561e-02,5.01860661e-01,1.91550474e-02,0.00,0.00
3485,8.59656031e-02,2.27486298e-02,5.02195584e-01,1.91198138e-02,0.00,0.00
3487.5,8.64581060e-02,2.28064077e-02,5.02530574e-01,1.90845835e-02,0.00,0.00
3490,8.69506089e-02,2.28641899e-02,5.02865632e-01,1.90493566e-02,0.00,0.00
3492.5,8.73735765e-02,2.28944705e-02,5.01197765e-01,1.89277134e-02,0.00,0.00
3495,8.77965440e-02,2.29247566e-02,4.99532141e-01,1.88064519e-02,0.00,0.00
3497.5,8.82195116e-02,2.29550481e-02,4.97868760e-01,1.86855722e-02,0.00,0.00
3500,8.86424791e-02,2.29853450e-02,4.96207623e-01,1.85650743e-02,0.00,0.00
3502.5,8.89881800e-02,2.29856960e-02,4.95493700e-01,1.84682986e-02,0.00,0.00
3505,8.93338809e-02,2.29860538e-02,4.94777084e-01,1.83712956e-02,0.00,0.00
3507.5,8.96795818e-02,2.29864185e-02,4.94057776e-01,1.82740660e-02,0.00,0.00
3510,9.00252827e-02,2.29867901e-02,4.93335774e-01,1.81766104e-02,0.00,0.00
3512.5,9.02899762e-02,2.29532364e-02,4.93977850e-01,1.81161357e-02,0.00,0.00
3515,9.05546698e-02,2.29196920e-02,4.94597219e-01,1.80539387e-02,0.00,0.00
3517.5,9.08193634e-02,2.28861571e-02,4.95193882e-01,1.79900209e-02,0.00,0.00
3520,9.10840569e-02,2.28526316e-02,4.95767840e-01,1.79243840e-02,0.00,0.00
