LAMBDA,G,BP,RP,RVS
9850,0.07391,0.00000,0.17801,0.00000
9870,0.07038,0.00000,0.17040,0.00000
9890,0.06699,0.00000,0.16245,0.00000
9910,0.06375,0.00000,0.15463,0.00000
9930,0.06039,0.00001,0.14702,0.00000
9950,0.05703,0.00000,0.13957,0.00000
9970,0.05403,0.00000,0.13248,0.00000
9990,0.05141,0.00000,0.12606,0.00000
10030,0.04629,0.00001,0.11424,0.00000
10080,0.03983,0.00000,0.09862,0.00000
10130,0.03367,0.00000,0.08404,0.00000
10180,0.02842,0.00000,0.07095,0.00000
10230,0.02345,0.00000,0.05889,0.00000
10280,0.01940,0.00000,0.04886,0.00000
10330,0.01569,0.00000,0.03971,0.00000
10380,0.01255,0.00000,0.03187,0.00000
10430,0.00988,0.00000,0.02505,0.00000
10480,0.00755,0.00001,0.01923,0.00000
10530,0.00569,0.00001,0.01445,0.00000
10580,0.00414,0.00004,0.01059,0.00000
10630,0.00299,0.00021,0.00762,0.00000
10680,0.00214,0.00080,0.00550,0.00000
10730,0.00156,0.00061,0.00400,0.00000
10780,0.00112,0.00054,0.00288,0.00000
10830,0.00078,0.00035,0.00199,0.00000
10880,0.00050,0.00026,0.00128,0.00000
10930,0.00030,0.00016,0.00077,0.00000
10980,0.00018,0.00009,0.00044,0.00000
11030,0.00000,0.00000,0.00000,0.00000
